Pipeline created from /mnt/ufs18/home-119/llorente/blk/projection_movie.pipe
Runtime: 0:00:00.011472
Cache set to : /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache
  Segment  Name                         Hashcode                          Dependencies                 Save Action    Always run    Output File
        1  static_projection[101]       f196e98e5212442c5d1c06f53950b055  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f196e98e5212442c5d1c06f53950b055
        1  static_projection[102]       840f68777c3b49cdb4ef6c17d0fdcdcc  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/840f68777c3b49cdb4ef6c17d0fdcdcc
        1  static_projection[103]       193030b6a363907b0fde724b4f5c1562  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/193030b6a363907b0fde724b4f5c1562
        1  static_projection[104]       aeae18bb808abde287133f5a73dc41b2  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/aeae18bb808abde287133f5a73dc41b2
        1  static_projection[105]       c7099a6fb9e2ab226f5309f0a979adb8  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/c7099a6fb9e2ab226f5309f0a979adb8
        1  static_projection[106]       0073bd9c5644b10e9eb6195cb46c9e5f  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/0073bd9c5644b10e9eb6195cb46c9e5f
        1  static_projection[107]       44fc13baaf5f1b0bf837e7a233b9845f  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/44fc13baaf5f1b0bf837e7a233b9845f
        1  static_projection[108]       9b00357f7511b410b2626d12a61b5f46  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/9b00357f7511b410b2626d12a61b5f46
        1  static_projection[109]       f86a281571ca4b2b1ba6f3ba44561290  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f86a281571ca4b2b1ba6f3ba44561290
        1  static_projection[110]       76e5db9ee5adc92c0b514f2d4b7846b9  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/76e5db9ee5adc92c0b514f2d4b7846b9
        1  static_projection[111]       6a3c28283a7dcf68ad0102cc29e0a01b  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/6a3c28283a7dcf68ad0102cc29e0a01b
        1  static_projection[112]       e5e7b486beb6055696df8cec779bac33  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/e5e7b486beb6055696df8cec779bac33
